,l3,rooms,bedrooms,bathrooms,surface_total,surface_covered,price,property_type
43787,Belgrano,6.0,3.0,2.0,123.0,123.0,450000.0,Departamento
43788,Belgrano,4.0,3.0,3.0,169.0,126.0,469000.0,Departamento
43789,Belgrano,4.0,3.0,3.0,97.0,89.0,255000.0,Departamento
43790,Floresta,4.0,3.0,2.0,188.0,124.0,235000.0,Departamento
43792,Recoleta,5.0,3.0,2.0,116.0,112.0,280000.0,Departamento
43793,Recoleta,4.0,3.0,2.0,85.0,76.0,255000.0,Departamento
43797,Recoleta,4.0,3.0,2.0,86.0,86.0,238000.0,Departamento
43798,Recoleta,4.0,3.0,3.0,113.0,99.0,420000.0,Departamento
43800,Recoleta,4.0,3.0,3.0,100.0,93.0,315000.0,Departamento
43801,Recoleta,4.0,3.0,2.0,150.0,150.0,470000.0,Departamento
43806,Recoleta,4.0,3.0,2.0,135.0,135.0,365000.0,Departamento
43807,Recoleta,5.0,3.0,2.0,113.0,113.0,385000.0,Departamento
43808,Balvanera,4.0,3.0,1.0,56.0,54.0,143000.0,Departamento
43809,Caballito,4.0,3.0,2.0,66.0,58.0,155000.0,Departamento
43810,Caballito,4.0,3.0,3.0,153.0,123.0,280000.0,Departamento
43811,Caballito,4.0,3.0,4.0,127.0,109.0,322100.0,Departamento
43812,Caballito,4.0,3.0,3.0,193.0,164.0,455000.0,Departamento
43813,Chacarita,4.0,3.0,1.0,95.0,95.0,180000.0,Departamento
43814,San Telmo,4.0,3.0,2.0,109.0,109.0,228000.0,Departamento
43815,Colegiales,4.0,3.0,2.0,68.0,68.0,169000.0,Departamento
43817,Barrio Norte,4.0,3.0,2.0,129.0,129.0,285000.0,Departamento
43818,Barrio Norte,4.0,3.0,2.0,93.0,84.0,285000.0,Departamento
43820,Barrio Norte,4.0,3.0,1.0,106.0,89.0,270000.0,Departamento
43821,Barrio Norte,4.0,3.0,1.0,138.0,138.0,380000.0,Departamento
43822,Las Cañitas,4.0,3.0,2.0,160.0,150.0,430000.0,Departamento
43825,Monte Castro,4.0,3.0,2.0,130.0,100.0,250000.0,Departamento
43826,Villa Crespo,4.0,3.0,1.0,95.0,95.0,180000.0,Departamento
43827,Villa Crespo,4.0,3.0,3.0,110.0,95.0,210000.0,Departamento
43828,Villa Crespo,4.0,3.0,3.0,100.0,95.0,250000.0,Departamento
43829,Villa Crespo,4.0,3.0,2.0,75.0,64.0,155000.0,Departamento
43830,Villa Crespo,4.0,3.0,1.0,80.0,70.0,185000.0,Departamento
43831,Villa Crespo,4.0,3.0,2.0,80.0,80.0,260000.0,Departamento
43832,Villa Crespo,4.0,3.0,3.0,154.0,150.0,350000.0,Departamento
43833,Villa Crespo,4.0,3.0,1.0,100.0,100.0,175000.0,Departamento
43838,San Cristobal,4.0,3.0,2.0,101.0,80.0,160000.0,Departamento
43839,Villa Urquiza,4.0,3.0,2.0,76.0,74.0,263000.0,Departamento
43841,Parque Patricios,4.0,3.0,2.0,135.0,118.0,330000.0,Departamento
43842,Villa Santa Rita,4.0,3.0,2.0,79.0,69.0,170000.0,Departamento
43843,Villa del Parque,4.0,3.0,2.0,79.0,69.0,170000.0,Departamento
43844,Parque Centenario,4.0,3.0,3.0,102.0,94.0,287000.0,Departamento
43845,Parque Centenario,4.0,3.0,3.0,154.0,150.0,350000.0,Departamento
43846,Parque Centenario,4.0,3.0,1.0,100.0,100.0,175000.0,Departamento
43847,Parque Centenario,4.0,3.0,3.0,101.0,101.0,230000.0,Departamento
43848,Parque Centenario,4.0,3.0,2.0,136.0,121.0,320000.0,Departamento
43849,Centro / Microcentro,4.0,3.0,2.0,160.0,160.0,310000.0,Departamento
43850,Boedo,5.0,4.0,2.0,130.0,130.0,350000.0,PH
43853,Balvanera,5.0,4.0,2.0,130.0,130.0,350000.0,PH
43855,Villa Crespo,5.0,4.0,2.0,149.0,149.0,260000.0,PH
43856,Villa Crespo,5.0,4.0,4.0,110.0,110.0,215000.0,PH
43857,Villa General Mitre,5.0,4.0,2.0,147.0,135.0,230000.0,PH
43860,Once,5.0,4.0,1.0,130.0,122.0,169000.0,Departamento
43862,Almagro,5.0,4.0,1.0,130.0,122.0,169000.0,Departamento
43864,Almagro,5.0,4.0,2.0,91.0,85.0,230000.0,Departamento
43869,Palermo,5.0,4.0,2.0,91.0,85.0,230000.0,Departamento
43874,Balvanera,5.0,4.0,1.0,130.0,130.0,250000.0,Departamento
43875,Caballito,5.0,4.0,3.0,156.0,146.0,398000.0,Departamento
43876,Caballito,5.0,4.0,3.0,156.0,146.0,398000.0,Departamento
43877,Barrio Norte,5.0,4.0,2.0,91.0,85.0,230000.0,Departamento
43883,Almagro,6.0,5.0,2.0,160.0,160.0,265000.0,PH
